ORD. GROUP,Entry Month,Sales Office,DATE OF CREATION (mm/dd/yyyy),Order Category,INDENT / ORD PRO. ID,SAP Entry ,CUSTOMER,SO NO (FAK),YGSP SO NO,SO item No.,MODEL CODE,QTY,SO BASIC VALUE,CDD (mm/dd/yyyy),BASE MODEL,CAP. MOD,WET. Part,CAP. CATG,B/O O R,SEAL Reqt.,SEAL Vendor,M+TT,TRADING FOB,PAYMENT TYPE,INSPN,CDD WEEK,LD Clause,MC DATE (mm/dd/yyyy),Matl Req DATE (mm/dd/yyyy),.,Billing Month,Part. del. Accept,BASE,Protocol,CAP. Mod,Wet. Part,P-Connect,C-Bolt,Install.,Amp-Hous.,Ele.,IND,Mount,OPTIONS,Tokuchu,"LM Tokuchu 
(Yes / No) ",Parts Avail. Date  (mm/dd/yyyy),LM Readiness Date,MFG Status,"SCH. Date
(mm/dd/yyyy)",FG date   (mm/dd/yyyy),FG Material Status,DESP Date,DESP Month,Remarks,END USER,END USER CODE,Seal Rediness Date,Seal MC Remarks,Consolidate,RON / PL,TOKUCHU No.,Nov-21,OPD,PPMG Plan,,
PPMG,Jul-21,Baroda,7/1/2021,Toh-Toh,35190,YES,GUJARAT AMBUJA EXPORTS LTD.,PBD21M0516,2007546228,30,EJA530E-JAS4N-012EL,3," 45,834.00 ",11/1/2021,EJA530E,A,S,Std,,N,-,M+T,10/19/2021,CREDIT,,45,N,,,,12/31/2021,,EJA530E,J,A,S,4,N,0,1,2,E,L,,-,,7/27/2021,7/29/2021,MC awtd,,,,,,,GUJARAT AMBUJA EXPORTS LTD.,200315777,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/26/2021,12/26/2021,
PPMG,Jul-21,Baroda,7/1/2021,Toh-Toh,35190,YES,GUJARAT AMBUJA EXPORTS LTD.,PBD21M0516,2007546228,40,EJA530E-JBS4N-012EL,37," 565,286.00 ",11/1/2021,EJA530E,B,S,Std,,N,-,M+T,10/19/2021,CREDIT,,45,N,,,,12/31/2021,,EJA530E,J,B,S,4,N,0,1,2,E,L,,-,,7/27/2021,7/29/2021,MC awtd,,,,,,,GUJARAT AMBUJA EXPORTS LTD.,200315777,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/26/2021,12/26/2021,
Discrete,Jul-21,Baroda,7/8/2021,Toh-Toh,36499,YES,GUJARAT FLUOROCHEMICALS LIMITED,MBG2100851,2007562249,10,EJA110E-JMS5J-912EB,1," 35,750.00 ",9/17/2021,EJA110E,M,S,Std,,N,-,M,---,PI,,38,Y,12/6/2021,12/9/2021,,12/31/2021,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,8/4/2021,8/6/2021,MC Recd,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200323738,,,,Arun S Kakade,,11/30/2021,CF-Nov 21,#N/A,#N/A,
Discrete,Jul-21,Baroda,7/19/2021,Toh-Toh,36636,NO,GUJARAT FLUOROCHEMICALS LIMITED,FBG21M0871,2007570846,20,EJA530E-JBS4N-012EL/KU22,2," 53,066.00 ",10/20/2021,EJA530E,B,S,Std,,N,-,M+T,,PI,,43,N,,,,12/31/2021,,EJA530E,J,B,S,4,N,0,1,2,E,L,/KU22,-,,8/17/2021,8/19/2021,Forecast,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200301237,,,,Arun S Kakade,,1/0/1900,#N/A,#N/A,#N/A,
Discrete,Jul-21,Delhi,7/26/2021,Toh-Toh,36314,NO,INDIAN OIL CORPORATION LIMITED,MDF2100331,2007531471,4010,EJA430E-JAS5G-912EB/KU22/A/T01,11," 495,440.00 ",7/26/2021,EJA430E,A,S,Exotic,,Y,WIKA,M,---,CREDIT,,31,N,,,,12/31/2021,,EJA430E,J,A,S,5,G,9,1,2,E,B,/KU22/A/T01,-,,8/24/2021,8/26/2021,Forecast,,,,,,,INDIAN OIL CORPORATION LIMITED,200257096,,,,Balasubramanian R,,12/31/2021,#N/A,#N/A,#N/A,
Discrete,Jul-21,Delhi,7/26/2021,Toh-Toh,36797,YES,ALPHA ENGINEERING & SYSTEMS,FDG21M0379,2007596823,220,EJA530E-JBS4N-012EL,2," 44,562.00 ",9/5/2021,EJA530E,B,S,Std,,N,-,M+T,11/22/2021,COD,,36,N,,,,12/31/2021,,EJA530E,J,B,S,4,N,0,1,2,E,L,,-,,8/24/2021,8/26/2021,MC awtd,,,,,,,NAINI PAPERS LTD,200085531,,,,Balasubramanian R,,12/31/2021,Dec-21,#N/A,#N/A,
Discrete,Jul-21,Delhi,7/26/2021,Toh-Toh,36797,YES,ALPHA ENGINEERING & SYSTEMS,FDG21M0379,2007596823,240,EJA530E-JBS7N-012EL,4," 89,124.00 ",9/5/2021,EJA530E,B,S,Std,,N,-,M+T,11/22/2021,COD,,36,N,,,,12/31/2021,,EJA530E,J,B,S,7,N,0,1,2,E,L,,-,,8/24/2021,8/26/2021,MC awtd,,,,,,,NAINI PAPERS LTD,200085531,,,,Balasubramanian R,,12/31/2021,Dec-21,#N/A,#N/A,
Discrete,Jul-21,Baroda,7/27/2021,Toh-Toh,36537,YES,ATUL LIMITED,MBG2100852,2007562562,10,EJA110E-JMS5G-912EB/KU22,1," 45,880.00 ",10/17/2021,EJA110E,M,S,Std,,N,-,M,---,PI,,42,N,,,,12/31/2021,,EJA110E,J,M,S,5,G,9,1,2,E,B,/KU22,-,,8/24/2021,8/26/2021,MC awtd,,,,,,,ATUL LIMITED,200256368,,,,Balasubramanian R,,11/30/2021,CF-Nov 21,#N/A,#N/A,
Discrete,Jul-21,Baroda,7/30/2021,Toh-Toh,36845,YES,GUJARAT FLUOROCHEMICALS LIMITED,MBG2100979,2007618828,10,EJA110E-JMA4J-912EB/KU22,4," 180,000.00 ",9/28/2021,EJA110E,M,A,Exotic,,N,-,M,---,PI,,40,N,,,,12/31/2021,,EJA110E,J,M,A,4,J,9,1,2,E,B,/KU22,-,,9/22/2021,9/24/2021,MC awtd,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Sridharan K,,11/30/2021,CF-Nov 21,#N/A,#N/A,
Discrete,Jul-21,Baroda,7/30/2021,Toh-Toh,36902,YES,GUJARAT FLUOROCHEMICALS LIMITED,MBG2100982,2007620023,10,EJA110E-JLA5J-912EB/KU22,2," 100,780.00 ",8/9/2021,EJA110E,L,A,Exotic,,N,-,M,---,PI,,33,N,,,,12/31/2021,,EJA110E,J,L,A,5,J,9,1,2,E,B,/KU22,-,,10/4/2021,10/6/2021,MC awtd,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Sridharan K,,12/31/2021,Dec-21,#N/A,#N/A,
Discrete,Jul-21,Baroda,7/30/2021,Toh-Toh,36902,YES,GUJARAT FLUOROCHEMICALS LIMITED,MBG2100982,2007620023,20,EJA530E-JBH4N-012EL,2," 64,200.00 ",8/9/2021,EJA530E,B,H,Exotic,,N,-,M,---,PI,,33,N,,,,12/31/2021,,EJA530E,J,B,H,4,N,0,1,2,E,L,,-,,9/20/2021,9/22/2021,MC awtd,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Sridharan K,,12/31/2021,Dec-21,#N/A,#N/A,
Discrete,Jul-21,Baroda,7/30/2021,Toh-Toh,36859,YES,GUJARAT FLUOROCHEMICALS LIMITED,MBG2100981,2007619989,10,EJA530E-JBS4N-012EL,2," 53,800.00 ",10/7/2021,EJA530E,B,S,Std,,N,-,M,---,PI,,41,N,,,,12/31/2021,,EJA530E,J,B,S,4,N,0,1,2,E,L,,-,,8/25/2021,8/27/2021,MC awtd,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Sridharan K,,11/30/2021,CF-Nov 21,#N/A,#N/A,
Discrete,Aug-21,Chennai,8/17/2021,Toh-Toh,37378,YES,SYSPRO AUTOMATION,MCH2100569,2007648117,10,EJA110E-JMS5J-912EB,10," 288,380.00 ",12/20/2021,EJA110E,M,S,Std,,N,-,M,---,PDC,,52,N,,,,12/31/2021,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,9/15/2021,9/17/2021,MC awtd,,,,,,,ULTRATECH CEMENT LIMITED,200258397,,,,Komaleswara R,,12/31/2021,Dec-21,#N/A,#N/A,
Discrete,Aug-21,Chennai,8/17/2021,Toh-Toh,37378,YES,SYSPRO AUTOMATION,MCH2100569,2007648117,20,EJA110E-JHS5J-912EB,5," 144,190.00 ",12/20/2021,EJA110E,H,S,Std,,N,-,M,---,PDC,,52,N,,,,12/31/2021,,EJA110E,J,H,S,5,J,9,1,2,E,B,,-,,9/15/2021,9/17/2021,MC awtd,,,,,,,ULTRATECH CEMENT LIMITED,200258397,,,,Komaleswara R,,12/31/2021,Dec-21,#N/A,#N/A,
Discrete,Aug-21,Baroda,8/20/2021,Toh-Toh,36804,YES,PRECISE TECHNOLOGIES,MBG2100960,2007611517,10,EJA530E-JBS4N-012EL,1," 21,850.00 ",9/13/2021,EJA530E,B,S,Std,,N,-,M,---,PI,,38,N,,,,12/31/2021,,EJA530E,J,B,S,4,N,0,1,2,E,L,,-,,9/15/2021,9/17/2021,MC awtd,,,,,,,SHREE SULPHURICS PVT. LTD.,200324075,,,,Sridharan K,,12/31/2021,Dec-21,#N/A,#N/A,
Discrete,Aug-21,Pune,8/20/2021,Toh-Toh,37214,YES,MOJJ ENGINEERING SYSTEMS LTD.,FPH21M0452,2007636274,20,EJA110E-JMS5J-912EB,2," 56,000.00 ",9/10/2021,EJA110E,M,S,Std,,N,-,M+T,FC,PDC,,37,N,,,,12/31/2021,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,9/15/2021,9/17/2021,MC awtd,,,,,,,DAVANGERE SUGAR CO. LIMITED,200255437,,,,Surmica Mukherjee,,12/31/2021,Dec-21,#N/A,#N/A,
Discrete,Aug-21,Pune,8/24/2021,Toh-Toh,37282,YES,TRANSPARENT TECHNOLOGIES PVT. LTD,MPH2100484,2007659623,10,EJA110E-JMS4J-912EB,3," 120,000.00 ",9/15/2021,EJA110E,M,S,Std,,N,-,M,---,PI,,38,N,,,,12/31/2021,,EJA110E,J,M,S,4,J,9,1,2,E,B,,-,,9/22/2021,9/24/2021,MC awtd,,,,,,,TRANSPARENT TECHNOLOGIES PVT. LTD,200282169,,,,Surmica Mukherjee,,11/30/2021,CF-Nov 21,#N/A,#N/A,
Discrete,Aug-21,Mumbai,8/26/2021,Toh-Toh,36964,YES,DORF KETAL CHEMICALS INDIA PVT LTD,MMG2100513,2007619757,10,EJA110E-JHS4G-912EB/KU22,2," 70,850.00 ",10/24/2021,EJA110E,H,S,Std,,N,-,M,---,PI,,43,Y,,,,12/31/2021,,EJA110E,J,H,S,4,G,9,1,2,E,B,/KU22,-,,9/22/2021,9/24/2021,MC awtd,,,,,,,DORF KETAL CHEMICALS INDIA PVT LTD,200063177,,,,Surmica Mukherjee,,11/30/2021,Dec-21,#N/A,#N/A,
Discrete,Aug-21,Mumbai,8/26/2021,Toh-Toh,36964,YES,DORF KETAL CHEMICALS INDIA PVT LTD,MMG2100513,2007619757,20,EJA110E-JMS4G-912EB/KU22,8," 283,400.00 ",10/24/2021,EJA110E,M,S,Std,,N,-,M,---,PI,,43,Y,,,,12/31/2021,,EJA110E,J,M,S,4,G,9,1,2,E,B,/KU22,-,,9/22/2021,9/24/2021,MC awtd,,,,,,,DORF KETAL CHEMICALS INDIA PVT LTD,200063177,,,,Surmica Mukherjee,,11/30/2021,Dec-21,#N/A,#N/A,
PPMG,Aug-21,Baroda,8/30/2021,Toh-Toh,36823,YES,BOSCH REXROTH (INDIA) PRIVATE  LIMI,MBH21Y1140,2007666225,10,EJA530E-JDS4N-012EL/D4/C1/CA,3," 132,226.20 ",12/17/2021,EJA530E,D,S,Std,,N,-,M,---,PI,,51,N,,,,12/31/2021,,EJA530E,J,D,S,4,N,0,1,2,E,L,/D4/C1/CA,-,,9/28/2021,9/30/2021,MC Recd,,,,,,,BOSCH REXROTH (INDIA) PRIVATE  LIMI,200255719,,,,Vidish Sharma K,,12/31/2021,Dec-21,#N/A,#N/A,
Discrete,Aug-21,Baroda,8/30/2021,Toh-Toh,37413,YES,GUJARAT FLUOROCHEMICALS LIMITED,MBH2101083,2007661445,10,EJA530E-JBS4N-012EL/KU22,1," 26,533.00 ",9/30/2021,EJA530E,B,S,Std,,N,-,M,---,PI,,40,Y,,,,12/31/2021,,EJA530E,J,B,S,4,N,0,1,2,E,L,/KU22,-,,9/28/2021,9/30/2021,MC awtd,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Balasubramanian R,,11/30/2021,CF-Nov 21,#N/A,#N/A,
Discrete,Aug-21,Baroda,8/30/2021,Toh-Toh,37520,NO,GUJARAT FLUOROCHEMICALS LIMITED,FBH21M1099,2007665065,20,EJA110E-JMS4J-912EB/KU22,2," 76,116.00 ",10/30/2021,EJA110E,M,S,Std,,N,-,M+T,,PI,,44,N,,,,12/31/2021,,EJA110E,J,M,S,4,J,9,1,2,E,B,/KU22,-,,9/28/2021,9/30/2021,Forecast,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200323738,,,,Balasubramanian R,,1/0/1900,#N/A,#N/A,#N/A,
Discrete,Aug-21,Baroda,8/30/2021,Toh-Toh,37454,YES,GUJARAT FLUOROCHEMICALS LIMITED,FBH21M1087,2007665076,4010,EJA110E-JMSWJ-912EB/KU22,2," 380,000.00 ",10/20/2021,EJA110E,M,S,Std,,Y,WIKA,M+T,12/17/2021,PI,,43,Y,,,,12/31/2021,,EJA110E,J,M,S,W,J,9,1,2,E,B,/KU22,-,,9/28/2021,9/30/2021,MC awtd,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Sridharan K,,11/30/2021,0,#N/A,#N/A,
