Group,Entry Month,Sales Office,DATE OF CREATION (mm/dd/yyyy),Order Category,INDENT / ORD PRO. ID,SAP Entry ,CUSTOMER,SO NO (FAK),YGSP SO NO,SO item No.,MODEL CODE,QTY,SO BASIC VALUE,CDD (mm/dd/yyyy),BASE MODEL,CAP. MOD,WET. Part,CAP. CATG,B/O O R,SEAL Reqt.,SEAL Vendor,M+TT,TRADING FOB,PAYMENT TYPE,INSPN,CDD WEEK,LD Clause,MC DATE (mm/dd/yyyy),Matl Req DATE (mm/dd/yyyy),Txr Category,Billing Month,Part. del. Accept,BASE,Protocol,CAP. Mod,Wet. Part,P-Connect,C-Bolt,Install.,Amp-Hous.,Ele.,IND,Mount,OPTIONS,Tokuchu,"LM Tokuchu 
(Yes / No) ",Parts Avail. Date  (mm/dd/yyyy),LM Readiness Date,MFG Status,"SCH. Date
(mm/dd/yyyy)",FG date   (mm/dd/yyyy),FG Material Status,DESP Date,DESP Month,Remarks,END USER,END USER CODE,Seal Rediness Date,Seal MC Remarks,SO+ITEM,RON / PL,TOKUCHU No.
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,70,EJA110E-JFS5J-912EB,1,"29,670.00",09/30/2022,EJA110E,F,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,F,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+11,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,80,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+11,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,90,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+11,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,100,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+12,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,110,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+12,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,120,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+12,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,130,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+12,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,140,EJA530E-JDS4N-012EL,1,"20,300.00",09/30/2022,EJA530E,D,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA530E,J,D,S,4,N,0,1,2,E,L,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+12,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,150,EJA530E-JDS4N-012EL,1,"20,300.00",09/30/2022,EJA530E,D,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA530E,J,D,S,4,N,0,1,2,E,L,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+12,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,160,EJA530E-JDS4N-012EL,1,"20,300.00",09/30/2022,EJA530E,D,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA530E,J,D,S,4,N,0,1,2,E,L,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+12,Vinaya Diliprao Lokare,
