Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,D0117XL-A,,U-BOLT ASSY,,0,,189,ST,,56.03
2Q00,YIL,2002,Line-side Transm,D0114RZ,,PLUG,,0,,361,ST,,81.83
2Q00,YIL,2002,Line-side Transm,D0114RB,,GASKET,,0,,141,ST,,11.06
2Q00,YIL,2002,Line-side Transm,D0114PB,,VENT SCREW,,0,,221,ST,,49.39
2Q00,YIL,2002,Line-side Transm,A1462CC,,FEEDTHRU CAPACITOR(FTA5C2HD102PJZZ),,0,,"1,140",ST,,42.76
2Q00,YIL,2002,Line-side Transm,F9900RF,,TAG PLATE,,0,,566,ST,,13.27
2Q00,YIL,2002,Line-side Transm,F9900RE,,TAG PLATE,,0,,407,ST,,13.27
2Q00,YIL,2002,Line-side Transm,F9900MK,,LABEL,,0,,19,ST,,16.22
2Q00,YIL,2002,Line-side Transm,F9900GZ,,SCREW,,0,,"1,420",ST,,1.47
2Q00,YIL,2002,Line-side Transm,F9900GX,,PLUG,,0,,40,ST,,327.32
2Q00,YIL,2002,Line-side Transm,F9900GW,,O-RING,,0,,20,ST,,17.70
2Q00,YIL,2002,Line-side Transm,F9900GV,,O-RING,,0,,102,ST,,8.85
2Q00,YIL,2002,Line-side Transm,F9900GT,,O-RING,,0,,60,ST,,56.03
2Q00,YIL,2002,Line-side Transm,F9900GS,,O-RING,,0,,52,ST,,90.67
2Q00,YIL,2002,Line-side Transm,F9900GR,,O-RING,,0,,53,ST,,79.62
2Q00,YIL,2002,Line-side Transm,F9900GP,,PLUG,,0,,47,ST,,246.23
2Q00,YIL,2002,Line-side Transm,F9900GK,,PLUG,,0,,93,ST,,324.37
2Q00,YIL,2002,Line-side Transm,F9900GH,,O-RING,,0,,438,ST,,3.69
2Q00,YIL,2002,Line-side Transm,F9900GG,,RING,,0,,59,ST,,7.37
2Q00,YIL,2002,Line-side Transm,F9900GE,,PLATE,,0,,537,ST,,9.59
2Q00,YIL,2002,Line-side Transm,F9900GD,,PLATE,,0,,89,ST,,14.01
2Q00,YIL,2002,Line-side Transm,F9900GC,,SCREW (FOR CASE),,0,,"1,267",ST,,1.47
2Q00,YIL,2002,Line-side Transm,F9341JZ,,CLAMP ASSY,,0,,317,ST,,19.17
2Q00,YIL,2002,Line-side Transm,F9342MK,,NUT,,0,,"1,450",ST,,3.69
2Q00,YIL,2002,Line-side Transm,F9342NJ,,CABLE ASSY,,0,,821,ST,,22.12
2Q00,YIL,2002,Line-side Transm,F9342YB,,FEEDTHROUGH CAP,,0,,252,ST,,81.83
2Q00,YIL,2002,Line-side Transm,F9342YC,,FILTER,,0,,305,ST,,142.27
2Q00,YIL,2002,Line-side Transm,F9900AA,,BOLT (FOR COVER FLANGE),,0,,396,ST,,50.87
2Q00,YIL,2002,Line-side Transm,F9900AC,,BOLT,,0,,481,ST,,61.93
2Q00,YIL,2002,Line-side Transm,F9900AE,,BOLT,,0,,4,ST,,451.90
2Q00,YIL,2002,Line-side Transm,F9900GB,,O-RING,,0,,13,ST,,5.16
2Q00,YIL,2002,Line-side Transm,F9900EF,,GASKET,,0,,2,ST,,633.25
2Q00,YIL,2002,Line-side Transm,F9900EA,,GASKET,,0,,618,ST,,25.80
