Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,F9342MK,,NUT,,0,,"2,105",ST,,3.71
2Q00,YIL,2008,Line-SideMetrCov,F9913VS,,METER COVER,,0,,33,ST,,393.59
2Q00,YIL,2008,Line-SideMetrCov,F9913TS,,METER COVER,,0,,271,ST,,295.75
2Q00,YIL,2008,Line-SideMetrCov,F9913SE,,METER COVER,,0,,32,ST,,804.97
2Q00,YIL,2008,Line-SideMetrCov,F9900GU,,O-RING,,0,,13,ST,,61.52
2Q00,YIL,2008,Line-SideMetrCov,F9341JQ,,O-RING,,0,,638,ST,,4.45
2Q00,YIL,2008,Line-SideMetrCov,F9341JE,,RING,,0,,163,ST,,31.13
2Q00,YIL,2008,Line-SideMetrCov,F9341JD,,SPRING,,0,,66,ST,,30.39
2Q00,YIL,2008,Line-SideMetrCov,F9341JA,,GLASS,,0,,714,ST,,117.85
2Q00,YIL,9002,Receive MFG KD,F9900GP,,PLUG,,0,,140,ST,,247.57
2Q00,YIL,9002,Receive MFG KD,F9900GL,,PLUG,,0,,84,ST,,403.23
2Q00,YIL,9002,Receive MFG KD,F9900GH,,O-RING,,0,,"5,000",ST,,3.71
2Q00,YIL,9002,Receive MFG KD,F9900GG,,RING,,0,,744,ST,,7.41
2Q00,YIL,9002,Receive MFG KD,F9900GE,,PLATE,,0,,"3,800",ST,,9.63
2Q00,YIL,9002,Receive MFG KD,F9900GD,,PLATE,,0,,369,ST,,14.08
2Q00,YIL,9002,Receive MFG KD,F9900GC,,SCREW (FOR CASE),,0,,"7,364",ST,,1.48
2Q00,YIL,9002,Receive MFG KD,F9900GB,,O-RING,,0,,"2,661",ST,,5.19
2Q00,YIL,9002,Receive MFG KD,F9900EF,,GASKET,,0,,4,ST,,636.72
2Q00,YIL,9002,Receive MFG KD,F9900EA,,GASKET,,0,,"4,822",ST,,25.94
2Q00,YIL,9002,Receive MFG KD,F9900BE,,NUT,,0,,5,ST,,429.17
2Q00,YIL,9002,Receive MFG KD,F9900BC,,NUT,,0,,"7,400",ST,,15.56
2Q00,YIL,9002,Receive MFG KD,F9900BA,,NUT (FOR COVER FLANGE),,0,,"10,400",ST,,21.49
2Q00,YIL,9002,Receive MFG KD,F9900AU,,"BOLT (FOR PROCESS CONNECTOR, ASTM-B7M)",,0,,"1,706",ST,,69.67
2Q00,YIL,9002,Receive MFG KD,F9900AS,,BOLT,,0,,700,ST,,111.92
2Q00,YIL,9002,Receive MFG KD,F9900AE,,BOLT,,0,,16,ST,,454.37
2Q00,YIL,9002,Receive MFG KD,F9900AC,,BOLT,,0,,"6,367",ST,,62.26
2Q00,YIL,9002,Receive MFG KD,F9900AA,,BOLT (FOR COVER FLANGE),,0,,"6,280",ST,,51.14
2Q00,YIL,9002,Receive MFG KD,F9350RS,,PLUG,,0,,38,ST,,551.47
2Q00,YIL,9002,Receive MFG KD,F9350KZ,,VENT SCREW,,0,,38,ST,,375.80
2Q00,YIL,9002,Receive MFG KD,F9350EW,,FLANGE,,0,,38,ST,,"1,698.89"
2Q00,YIL,9002,Receive MFG KD,F9350ER,,VENT PLUG,,0,,38,ST,,853.15
2Q00,YIL,9002,Receive MFG KD,F9900GQ,,PLUG   EXSP-G1/2,,0,,183,ST,,249.80
2Q00,YIL,9002,Receive MFG KD,F9900SD,,BRACKET,,0,,104,ST,,525.53
2Q00,YIL,9002,Receive MFG KD,F9900SB,,BRACKET,,0,,413,ST,,696.75
2Q00,YIL,9002,Receive MFG KD,F9900RS,,PLATE,,0,,"3,600",ST,,17.05
2Q00,YIL,9002,Receive MFG KD,F9900RR,,TAPPING SCREW,,0,,"1,243",ST,,1.48
2Q00,YIL,9002,Receive MFG KD,F9900RP,,BOLT,,0,,"4,400",ST,,2.96
2Q00,YIL,9002,Receive MFG KD,F9900RM,,NAME PLATE,,0,,"1,300",ST,,17.05
2Q00,YIL,9002,Receive MFG KD,F9900RL,,SHAFT,,0,,895,ST,,65.22
2Q00,YIL,9002,Receive MFG KD,F9900RJ,,BOLT,,0,,"7,691",ST,,5.19
2Q00,YIL,9002,Receive MFG KD,F9900RH,,SCREW,,0,,"3,398",ST,,7.41
2Q00,YIL,9002,Receive MFG KD,F9900RG,,TAPPING SCREW,,0,,"27,811",ST,,0.74
2Q00,YIL,9002,Receive MFG KD,F9900RF,,TAG PLATE,,0,,"3,400",ST,,13.34
2Q00,YIL,9002,Receive MFG KD,F9900RE,,TAG PLATE,,0,,"5,760",ST,,13.34
2Q00,YIL,9002,Receive MFG KD,F9900MK,,LABEL,,0,,50,ST,,16.31
2Q00,YIL,9002,Receive MFG KD,F9900GZ,,SCREW,,0,,"14,520",ST,,1.48
2Q00,YIL,9002,Receive MFG KD,F9900GY,,PLUG,,0,,90,ST,,329.11
2Q00,YIL,9002,Receive MFG KD,F9900GX,,PLUG,,0,,260,ST,,329.11
2Q00,YIL,9002,Receive MFG KD,F9900GW,,O-RING,,0,,955,ST,,17.79
2Q00,YIL,9002,Receive MFG KD,F9900GV,,O-RING,,0,,"2,009",ST,,8.89
2Q00,YIL,9002,Receive MFG KD,F9900GU,,O-RING,,0,,40,ST,,61.52
2Q00,YIL,9002,Receive MFG KD,F9900GT,,O-RING,,0,,649,ST,,56.33
2Q00,YIL,9002,Receive MFG KD,F9900GS,,O-RING,,0,,"5,661",ST,,91.17
2Q00,YIL,9002,Receive MFG KD,F9900GR,,O-RING,,0,,658,ST,,80.05
2Q00,YIL,9002,Receive MFG KD,F9342YC,,FILTER,,0,,705,ST,,143.05
2Q00,YIL,9002,Receive MFG KD,F9340GN,,O-RING,,0,,73,ST,,39.28
2Q00,YIL,9002,Receive MFG KD,F9340EM,,BRACKET,,0,,307,ST,,449.92
2Q00,YIL,9002,Receive MFG KD,F9340AZ,,BOLT (SUH660),,0,,10,ST,,472.16
