PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,BOLT-NUT,INSTALL,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT,
F9920TP,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,,,,"A,CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,J12,JS4,KS21,KU22,NS21,PS21,SU21,US1",
F9920VK,LPT ASSY,1,,,"-D,-J",,,,,,,,,,A,"JS4,NS21,PS21,US1","CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,J12,KS21,KU22,SU21",
F9920VS,LPT ASSY,1,,,"-D,-J",,,,,,,,,,A,"CS1,CU1,FS1,FU1,GS11,GU11,KS21,KU22,SU21","GS21,GU21,J12,JS4,NS21,PS21,US1",
F9920VT,LPT ASSY,1,,,"-D,-J",,,,,,,,,,A,"GS21,GU21","CS1,CU1,FS1,FU1,GS11,GU11,J12,JS4,KS21,KU22,NS21,PS21,SU21,US1",
F9920VY,LPT ASSY,1,,,Q,,,,,,,,,,A,,,
F9920VL,LPT ASSY,1,,,"-D,-J",,,,,,,,,,"A,J12",,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,NS21,PS21,SU21,US1",
F9920VP,LPT ASSY,1,,,"-D,-J",,,,,,,,,,A,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,J12,JS4,KS21,KU22,NS21,PS21,SU21,US1",
F9921TF,TERMINAL ASSY,1,,,"-F,-G",,,,,,,,,,,,"A,CS15,FS15,GS16,KS26,NS25,SS26",
F9921TG,TERMINAL ASSY,1,,,"-F,-G",,,,,,,,,,,"CS15,FS15,KS26,SS26",A,
F9921VF,LPT ASSY,1,,,"-F,-G",,,,,,,,,,A,,"CS15,FS15,GS16,KS26,NS25,SS26",
F9921VG,LPT ASSY,1,,,"-F,-G",,,,,,,,,,A,"CS15,FS15,KS26,SS26",,
F9342NJ,CONNECTOR ASSY,1,,,"-D,-F,-G,-J",,,,,,,,,,,,,
F9920LU,LCD ASSY,1,,,,,,,,,,,D,,,,,
F9920LV,LCD ASSY,1,,,,,,,,,,,E,,,,,
F9342MK,NUT,2,,,,,,,,,,,"D,E",,,,,
F9900TA,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2,E",,"-8,-9",,,,,,,"GS,HD,N1,N2,N3",
F9900TB,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5,F",,"-8,-9",,,,,,,"GS,HD,N1,N2,N3",
F9900TC,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,"-2,-3,-6,-7",,,,,,,HD,
F9900TD,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,"-2,-3,-6,-7",,,,,,,HD,
F9900TA,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9900TB,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9900TC,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9900TD,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9900TG,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,#NAME?,,,,,,,HD,
F9900TH,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,#NAME?,,,,,,,HD,
F9900TG,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,#NAME?,,,,,,,,
F9900TH,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,#NAME?,,,,,,,UN,
F9900UA,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,#NAME?,,,,,,,"HD,N1,N2,N3,U1",
F9900UB,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,#NAME?,,,,,,,"HD,N1,N2,N3,U1",
F9900UA,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,#NAME?,,,,,,,"N1,N2,N3,U1",
F9900UB,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,#NAME?,,,,,,,"N1,N2,N3,U1",
F9900TM,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,S,"B,C,D,G,W",,-9,,,,,,,,
F9900TK,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,-9,,,,"B,J,N",N1,,"GS,HD",
F9900TK,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,-9,,,,"B,J,N",N1,,GS,
F9900TL,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,-9,,,,"B,J,N",N1,,"GS,HD",
F9900TL,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,-9,,,,"B,J,N",N1,,GS,
F9900TC,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,-9,,,,N,,"N2,N3",HD,
F9900TC,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"0,1,2",,-9,,,,N,,"N2,N3",,
F9900TD,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,-9,,,,N,,"N2,N3",HD,
F9900TD,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,S,"3,4,5",,-9,,,,N,,"N2,N3",,
F9900TK,FLANGE,1,,EJA110E,,"H,M,V",S,0,,-8,,,,"B,J,N",GS,,HD,
F9900TK,FLANGE,1,,"EJA430E,EJA310E",,,S,0,,-8,,,,"B,J,N",GS,,,
F9900TK,FLANGE,1,,EJA110E,,"H,M,V",S,0,,-9,,,,"B,J,N",GS,,"HD,N1",
F9900TK,FLANGE,1,,"EJA430E,EJA310E",,,S,0,,-9,,,,"B,J,N",GS,,N1,
F9900TK,FLANGE,1,,EJA110E,,"H,M,V",S,0,,-9,,,,"B,J,N","GS,N1",,HD,
F9900TK,FLANGE,1,,"EJA430E,EJA310E",,,S,0,,-9,,,,"B,J,N","GS,N1",,,
F9900TL,FLANGE,1,,EJA110E,,"H,M,V",S,5,,-8,,,,"B,J,N",GS,,HD,
F9900TL,FLANGE,1,,"EJA430E,EJA310E",,,S,5,,-8,,,,"B,J,N",GS,,,
F9900TL,FLANGE,1,,EJA110E,,"H,M,V",S,5,,-9,,,,"B,J,N",GS,,"HD,N1",
F9900TL,FLANGE,1,,"EJA430E,EJA310E",,,S,5,,-9,,,,"B,J,N",GS,,N1,
F9900TL,FLANGE,1,,EJA110E,,"H,M,V",S,5,,-9,,,,"B,J,N","GS,N1",,HD,
F9900TL,FLANGE,1,,"EJA430E,EJA310E",,,S,5,,-9,,,,"B,J,N","GS,N1",,,
F9340VM,FLANGE,1,,EJA130E,,,S,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9340VL,FLANGE,1,,EJA130E,,,S,"0,1,2",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9900UE,FLANGE,1,,EJA130E,,,S,"0,1,2",,#NAME?,,,,,,,"N1,N2,N3,U1",
F9340UJ,FLANGE,1,,EJA130E,,,S,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9340UH,FLANGE,1,,EJA130E,,,S,"3,4,5",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9900UF,FLANGE,1,,EJA130E,,,S,"3,4,5",,#NAME?,,,,,,,"N1,N2,N3,U1",
F9340RE,FLANGE,1,,EJA130E,,,S,"3,4,5",,-9,,,,"B,J,N",N1,,GS,
F9340UJ,FLANGE,1,,EJA130E,,,S,"3,4,5",,-9,,,,N,,"N2,N3",,
F9340RE,FLANGE,1,,EJA130E,,,S,5,,-8,,,,"B,J,N",GS,,,
F9340RE,FLANGE,1,,EJA130E,,,S,5,,-9,,,,"B,J,N",GS,,N1,
F9340RE,FLANGE,1,,EJA130E,,,S,5,,-9,,,,"B,J,N","GS,N1",,,
F9350EV,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",L,"0,1,2",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9350EW,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",L,"3,4,5",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9350ES,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",L,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9350ET,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",L,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9350EV,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,L,"0,1,2",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9350EW,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,L,"3,4,5",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9350ES,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,L,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9350ET,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,L,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9340TA,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,W,"0,1,2",,"-8,-9",,,,,,,"N1,N2,N3",
F9340TB,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,W,"3,4,5",,"-8,-9",,,,,,,"N1,N2,N3",
F9340TC,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,W,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9340TD,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,W,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9900WR,FLANGE,1,,EJA440E,,C,S,"0,1,2",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9900WS,FLANGE,1,,EJA440E,,C,S,"3,4,5",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9900WP,FLANGE,1,,EJA440E,,C,S,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9900WQ,FLANGE,1,,EJA440E,,C,S,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9900WL,FLANGE,1,,EJA440E,,C,S,"3,4,5",,-9,,,,"B,J,N",N1,,GS,
F9900WQ,FLANGE,1,,EJA440E,,C,S,"3,4,5",,-9,,,,N,,"N2,N3",,
F9900WL,FLANGE,1,,EJA440E,,C,S,5,,-8,,,,"B,J,N",GS,,,
F9900WL,FLANGE,1,,EJA440E,,C,S,5,,-9,,,,"B,J,N",GS,,N1,
F9900WL,FLANGE,1,,EJA440E,,C,S,5,,-9,,,,"B,J,N","GS,N1",,,
F9900WC,FLANGE,1,,EJA440E,,D,S,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9900WA,FLANGE,1,,EJA440E,,D,S,"0,1,2",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9900WD,FLANGE,1,,EJA440E,,D,S,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9900WB,FLANGE,1,,EJA440E,,D,S,"3,4,5",,"-8,-9",,,,,,,"GS,N1,N2,N3",
F9900WN,FLANGE,1,,EJA440E,,D,S,"3,4,5",,-9,,,,"B,J,N",N1,,GS,
F9900WN,FLANGE,1,,EJA440E,,D,S,5,,-8,,,,"B,J,N",GS,,,
F9900WN,FLANGE,1,,EJA440E,,D,S,5,,-9,,,,"B,J,N",GS,,N1,
F9900WN,FLANGE,1,,EJA440E,,D,S,5,,-9,,,,"B,J,N","GS,N1",,,
F9340VN,FLANGE,1,,"EJA120E,EJA120J",,,S,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9340VP,FLANGE,1,,"EJA120E,EJA120J",,,S,"0,1,2",,"-8,-9",,,,,,,,
F9340VQ,FLANGE,1,,"EJA120E,EJA120J",,,S,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9340VR,FLANGE,1,,"EJA120E,EJA120J",,,S,"3,4,5",,"-8,-9",,,,,,,"N1,N2,N3",
F9340RC,FLANGE,1,,"EJA120E,EJA120J",,,S,"3,4,5",,-9,,,,"B,J,N",N1,,,
F9340VQ,FLANGE,1,,"EJA120E,EJA120J",,,S,"3,4,5",,-9,,,,N,,"N2,N3",,
F9900TN,FLANGE,1,,"EJA110E,EJA110J",,,S,"P,Q,R",,-9,,,,,,,,
F9900TA,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2,C,Q",,"-8,-9",,,,,,,"GS,HD,N1,N2,N3",
F9900TB,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5,D,R",,"-8,-9",,,,,,,"GS,HD,N1,N2,N3",
F9900TC,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2,C,Q",,"-2,-3,-6,-7",,,,,,,HD,
F9900TD,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5,D,R",,"-2,-3,-6,-7",,,,,,,HD,
F9900TG,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,#NAME?,,,,,,,HD,
F9900TH,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,#NAME?,,,,,,,HD,
F9900UA,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"0,1,2",,#NAME?,,,,,,,"HD,N1,N2,N3,U1",
F9900UB,FLANGE,1,,"EJA110E,EJA110J",,"H,M,V",S,"3,4,5",,#NAME?,,,,,,,"HD,N1,N2,N3,U1",
F9900TM,FLANGE,1,,"EJA110E,EJA110J",,,S,"B,E,F,G,W",,-9,,,,,,,,
